门店名称,省份,城市,城市等级,区域,周边1km小区数量,周边中小学数量(500m),周边交通枢纽数量(300m),商业配套数量(500m),商务办公数量(500m),餐饮店数量(500m),Cluster_ID,聚类标签,画像名称
味知香(飞茂市场旗舰店),江苏省,南京市,新一线城市,建邺区,52,5,7,8,5,95,3,4,成熟社区型
味知香(崇文金成店),江苏省,南京市,新一线城市,建邺区,55,7,3,11,2,41,3,4,成熟社区型
味知香(阳光广场小区店),江苏省,南京市,新一线城市,鼓楼区,92,7,0,11,11,186,3,4,成熟社区型
味知香半成品菜(清凉门大街店),江苏省,南京市,新一线城市,鼓楼区,111,4,3,14,8,153,3,4,成熟社区型
味知香半成品菜,江苏省,南京市,新一线城市,江宁区,29,6,6,24,2,345,3,4,成熟社区型
味知香半成品菜,江苏省,南京市,新一线城市,雨花台区,28,3,2,11,5,84,0,1,商务综合型
味知香金陵小区金久店,江苏省,南京市,新一线城市,鼓楼区,67,8,0,10,3,101,0,1,商务综合型
苏州市味知香食品股份有限公司,江苏省,苏州市,新一线城市,吴中区,0,0,1,0,0,0,0,1,商务综合型
味知香,江苏省,苏州市,新一线城市,姑苏区,151,3,0,65,5,358,1,2,商业竞争型
味知香(葑门横街店),江苏省,苏州市,新一线城市,姑苏区,95,5,2,19,0,175,3,4,成熟社区型
味知香(计成路店),江苏省,苏州市,新一线城市,吴江区,19,0,0,3,2,26,0,1,商务综合型
味知香,江苏省,苏州市,新一线城市,昆山市,71,0,1,37,4,196,0,1,商务综合型
味知香,江苏省,苏州市,新一线城市,昆山市,106,5,2,58,7,287,1,2,商业竞争型
苏州市·味知香(东城明月店),江苏省,苏州市,新一线城市,姑苏区,75,1,0,26,6,106,0,1,商务综合型
味知香(胥口集贸市场店),江苏省,苏州市,新一线城市,吴中区,36,5,4,29,6,174,3,4,成熟社区型
尹东市场内B8味知香,江苏省,苏州市,新一线城市,吴中区,36,0,1,10,0,147,0,1,商务综合型
味知香(古里市场店),江苏省,苏州市,新一线城市,常熟市,29,2,0,16,0,89,0,1,商务综合型
味知香(浏河店),江苏省,苏州市,新一线城市,太仓市,46,0,2,21,3,154,0,1,商务综合型
味知香(小康村菜场店),江苏省,苏州市,新一线城市,常熟市,19,0,1,22,1,139,0,1,商务综合型
味知香(江南生鲜市场店),江苏省,苏州市,新一线城市,昆山市,24,1,0,7,3,59,0,1,商务综合型
味知香(惠隆市场),江苏省,苏州市,新一线城市,昆山市,94,5,3,38,0,191,3,4,成熟社区型
味知香(千灯店),江苏省,苏州市,新一线城市,昆山市,28,3,1,7,1,40,0,1,商务综合型
味知香专卖,江苏省,苏州市,新一线城市,昆山市,38,3,3,24,1,155,0,1,商务综合型
味知香半成品菜,江苏省,苏州市,新一线城市,吴中区,29,6,0,13,5,125,0,1,商务综合型
味知香半成品(昆山红峰店),江苏省,苏州市,新一线城市,昆山市,66,2,3,29,3,168,3,4,成熟社区型
味知香半成品菜,江苏省,苏州市,新一线城市,吴中区,23,0,0,14,5,88,0,1,商务综合型
味知香,江苏省,无锡市,二线城市,梁溪区,24,3,1,6,0,33,0,1,商务综合型
味知香,江苏省,无锡市,二线城市,梁溪区,51,3,0,16,5,90,0,1,商务综合型
味知香半成品菜(荣巷店),江苏省,无锡市,二线城市,滨湖区,43,8,4,20,5,151,3,4,成熟社区型
味知香(惠洲大道店),江苏省,无锡市,二线城市,惠山区,41,1,1,18,8,190,0,1,商务综合型
味知香(学前东路店),江苏省,无锡市,二线城市,梁溪区,51,5,3,12,0,55,0,1,商务综合型
味知香半成品菜(天锦路店),江苏省,无锡市,二线城市,惠山区,36,2,2,10,0,68,0,1,商务综合型
味知香(厚桥商城店),江苏省,无锡市,二线城市,锡山区,7,4,4,15,3,68,0,1,商务综合型
味知香(东庙巷店),江苏省,无锡市,二线城市,宜兴市,84,3,2,55,8,403,1,2,商业竞争型
